timestamp,y_true,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-01-16 19:00:00,11999.990234375,91568.75136525065,85631.0140156817,99528.36766817873,95146.44059636952,94070.78106257271,91197.81847810901,94944.94008923948,93157.03683383309,92593.41811679871,91763.40295060772
2018-01-16 20:00:00,12313.2900390625,91568.75136525065,85545.38300166602,99528.36766817873,95051.29415577315,94070.78106257271,91106.6206596309,94944.94008923948,93063.87979699926,92593.41811679871,91671.63954765712
2018-01-16 21:00:00,12089.76953125,91568.75136525065,85545.38300166602,99528.36766817873,95051.29415577315,94070.78106257271,91106.6206596309,94944.94008923948,93063.87979699926,92593.41811679871,91671.63954765712
2018-01-16 22:00:00,11388.919921875,86260.4679062973,80505.69075445204,93758.66151938315,89451.58493201321,88617.45376870754,85739.3020072699,89440.93738665064,87581.2541186566,87225.73424572786,86271.03422090645
2018-01-16 23:00:00,11554.5302734375,87514.8121736996,81676.35275226085,95122.03969771511,90752.33237163299,89906.0718092138,86986.06781522631,90741.52999651106,88854.80441002501,88494.11479566802,87525.5321368627
2018-01-17 00:00:00,11532.33984375,87514.8121736996,81594.6763995086,95122.03969771511,90661.58003926136,89906.0718092138,86899.08174741108,90741.52999651106,88765.94960561498,88494.11479566802,87438.00660472584
2018-01-17 01:00:00,11039.099609375,83771.7880300577,78026.75266253043,91053.65307449602,86697.1841040386,86060.77306396868,83099.21011154463,86860.49855541269,84884.44467651167,88494.11479566802,87438.00660472584
2018-01-17 02:00:00,10761.1201171875,81662.30085082634,76061.93326152152,88760.79866253205,84514.0314861512,83893.6461387556,81006.65935601272,84673.2334582592,82746.93929466372,86265.71302714055,85150.96287297901
2018-01-17 03:00:00,11220.0,85144.57654671553,79305.39589751535,92545.77127180088,88117.91179248059,87471.0717310393,84460.97693146177,88283.90251720067,86275.46656627941,89944.28922121215,88782.00345602349
2018-01-17 04:00:00,11386.33984375,83882.28282488481,77973.41042944578,91173.75263248941,86637.9144145481,86174.28702476602,83042.40014209616,88283.90251720067,86189.19109971313,89944.28922121215,88693.22145256746
2018-01-17 05:00:00,11143.7900390625,83882.28282488481,77895.43701901633,91173.75263248941,86551.27650013355,86174.28702476602,82959.35774195407,88283.90251720067,86189.19109971313,89944.28922121215,88693.22145256746
2018-01-17 06:00:00,11342.9697265625,85381.56151025862,79208.42148551212,92803.35616000432,88010.16146116555,87714.53208501593,84357.69828966884,89861.85400884021,87641.97284694352,91551.91780688119,90188.21045971898
2018-01-17 07:00:00,10985.01953125,88075.94819694028,81544.58633352359,92803.35616000432,87922.15129970439,87714.53208501593,84273.34059137918,89861.85400884021,87554.33087409657,91551.91780688119,90098.02224925926
2018-01-17 08:00:00,10948.3203125,87781.70033690709,81109.61440652802,92493.31477511999,87540.78883361189,87421.49165924478,83907.80484732955,89561.63971899125,87174.5638296642,91246.05728027779,89707.22193958632
2018-01-17 09:00:00,11191.0,87781.70033690709,81028.5047921215,92493.31477511999,87453.24804477829,87421.49165924478,83823.89704248222,89561.63971899125,87087.38926583453,91246.05728027779,89617.51471764673
2018-01-17 10:00:00,11135.009765625,88220.88521544337,81352.46852836167,92956.07256015972,87802.89883810848,87421.49165924478,83823.89704248222,89561.63971899125,87087.38926583453,91246.05728027779,89617.51471764673
2018-01-17 11:00:00,11285.0,88220.88521544337,81271.11605983331,92956.07256015972,87715.09593927037,87421.49165924478,83823.89704248222,89561.63971899125,87087.38926583453,91246.05728027779,89617.51471764673
2018-01-17 12:00:00,11244.419921875,88538.12140634273,81481.79800099766,92956.07256015972,87715.09593927037,87421.49165924478,83823.89704248222,89561.63971899125,87087.38926583453,91246.05728027779,89617.51471764673
2018-01-17 13:00:00,10947.5400390625,88538.12140634273,81400.31620299666,92956.07256015972,87715.09593927037,87421.49165924478,83823.89704248222,89561.63971899125,87087.38926583453,91246.05728027779,89617.51471764673
2018-01-17 14:00:00,10540.0,85242.14538545473,78291.68656963448,89495.63109960414,84365.3086257908,84167.08400249401,80622.71229916585,86227.56155902638,83761.57369665675,91246.05728027779,89617.51471764673
2018-01-17 15:00:00,10071.0,81449.11254050423,74807.92935889837,85513.33024706956,80611.29252090504,80421.88832913825,77035.23107826369,82390.6804991418,80034.42207770684,87185.86744494094,85544.16060063556
2018-01-17 16:00:00,10188.0498046875,82395.75167413904,75677.38160003981,86507.2055924769,81548.19412404067,81356.58858944266,77930.57004676407,83348.26296965068,80964.61902661684,88199.18178869436,86538.39427062469
